      0.00	    696.00	   1716.00	    897.00	    456.00	    900.00	   1206.00	   1116.00	   1116.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	   1206.00	   1116.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	   1206.00	   1116.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	   1206.00	   1116.00	   1116.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	   1116.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    558.00	    916.00	    696.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    575.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    575.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    575.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    575.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    920.00	    800.00	
      0.00	    696.00	   1416.00	    897.00	    456.00	    500.00	    916.00	    696.00	    696.00	    750.00	    920.00	    800.00	
